English,Arabic
Quantitative easing program must be followed by balance sheet normalization in inflation targeting.,يجب أن يتبع برنامج التيسير الكمي تطبيع الميزانية العمومية في استهداف التضخم.
Expansionary fiscal stimulus must be evaluated by public debt sustainability analysis.,يجب تقييم التحفيز المالي التوسعي من خلال تحليل استدامة الدين العام.
Floating exchange-rate regime must be monitored by currency intervention mechanism during carry trade.,يجب مراقبة نظام سعر الصرف العائم من خلال آلية التدخل في العملة خلال تجارة المناقلة.
Core inflation measure must be monitored by inflation expectations survey for policy credibility.,يجب مراقبة مقياس التضخم الأساسي من خلال مسح توقعات التضخم لمصداقية السياسة.
Natural rate of unemployment must be estimated by structural unemployment mismatch analysis.,يجب تقدير المعدل الطبيعي للبطالة من خلال تحليل عدم التطابق في البطالة الهيكلية.
Basel III capital requirements must include stress testing exercise for too-big-to-fail resolution.,يجب أن تتضمن متطلبات رأس المال وفق بازل 3 تمرين اختبار الضغط لحل مشكلة المؤسسات الأكبر من أن تفشل.
Comparative advantage theory must guide trade-weighted exchange rate under WTO dispute.,يجب أن توجه نظرية الميزة النسبية سعر الصرف المرجح بالتجارة في إطار نزاعات منظمة التجارة العالمية.
Platform economy model must align with digital tax policy for big data analytics.,يجب أن يتماشى نموذج اقتصاد المنصات مع سياسة الضرائب الرقمية لتحليلات البيانات الضخمة.
Carbon pricing mechanism must achieve Paris agreement target through emissions trading system.,يجب أن تحقق آلية تسعير الكربون هدف اتفاقية باريس من خلال نظام تداول الانبعاثات.
Loss aversion bias must be addressed by nudge theory application in default option setting.,يجب معالجة تحيز النفور من الخسارة من خلال تطبيق نظرية الدفع الناعم في إعداد الخيار الافتراضي.
Tier 1 capital ratio must exceed the capital conservation buffer under leverage ratio exposure limits.,يجب أن تتجاوز نسبة رأس المال من المستوى الأول حاجز الحفاظ على رأس المال ضمن حدود التعرض لنسبة الرافعة المالية.
Liquidity coverage ratio must be maintained above 100 % during liquidity stress testing.,يجب الحفاظ على نسبة تغطية السيولة فوق 100% خلال اختبار ضغط السيولة.
Net interest income sensitivity must be managed by duration gap analysis under hedging strategy effectiveness.,يجب إدارة حساسية صافي دخل الفوائد من خلال تحليل فجوة المدة ضمن فعالية استراتيجية التحوط.
Open banking API must be secured by cyber-security resilience in cloud-native architecture.,يجب تأمين واجهة برمجة التطبيقات للخدمات المصرفية المفتوحة من خلال المرونة في الأمن السيبراني ضمن البنية السحابية الأصلية.
Probability of default model must pass model validation back-testing under internal ratings-based approach.,يجب أن يجتاز نموذج احتمالية التخلف عن السداد الاختبار الرجعي للتحقق من صحة النموذج ضمن النهج القائم على التصنيفات الداخلية.
Adverse scenario design must include macro-economic variable shock for capital adequacy projection.,يجب أن يتضمن تصميم السيناريو السلبي صدمة المتغيرات الاقتصادية الكلية لتوقع كفاية رأس المال.
Non-bank financial institution must undergo systemic risk assessment under regulatory perimeter extension.,يجب أن تخضع المؤسسات المالية غير المصرفية لتقييم المخاطر النظامية ضمن توسيع النطاق التنظيمي.
Paris Agreement alignment must include physical risk assessment for green bond issuance.,يجب أن يتضمن التوافق مع اتفاقية باريس تقييم المخاطر المادية لإصدار السندات الخضراء.
Central bank digital currency must undergo crypto-asset risk assessment under stable coin regulation.,يجب أن تخضع العملة الرقمية للبنك المركزي لتقييم مخاطر الأصول المشفرة ضمن تنظيم العملات المستقرة.
Unfair contract terms must be corrected by transparent fee disclosure through financial ombudsman service.,يجب تصحيح شروط العقد غير العادلة من خلال الإفصاح الشفاف عن الرسوم عبر خدمة أمين المظالم المالي.
High-frequency trading algorithm must respect order-to-trade ratio under colocation server hosting.,يجب أن تحترم خوارزمية التداول عالي التردد نسبة الأوامر إلى الصفقات ضمن استضافة الخادم المشترك الموقع.
Algorithmic trading strategy must pass back-testing validation process for smart order routing.,يجب أن تجتاز استراتيجية التداول الخوارزمي عملية التحقق من الاختبار الرجعي لتوجيه الأوامر الذكية.
Black-Scholes pricing model must be calibrated to implied volatility surface for delta hedging.,يجب معايرة نموذج تسعير بلاك-شولز لسطح التقلب الضمني للتحوط بالدلتا.
Spot foreign exchange market must use algorithmic execution strategy under liquidity provider tier.,يجب أن يستخدم سوق الصرف الأجنبي الفوري استراتيجية التنفيذ الخوارزمي ضمن مستوى مزود السيولة.
Futures contract specification must include margin call mechanism for basis risk hedging.,يجب أن تتضمن مواصفات عقد العقود الآجلة آلية نداء الهامش للتحوط من مخاطر الأساس.
Centralized exchange platform must secure wallet private key during stable coin pair trading.,يجب على منصة التبادل المركزية تأمين المفتاح الخاص للمحفظة أثناء تداول أزواج العملات المستقرة.
Exchange-traded fund creation must achieve tracking error minimization under intraday portfolio disclosure.,يجب أن يحقق إنشاء صندوق المتاجرة في البورصة تقليل خطأ التتبع ضمن الإفصاح اللحظي عن المحفظة.
Cointegration relationship test must validate pairs selection before z-score threshold signal.,يجب أن يتحقق اختبار علاقة التكامل المشترك من اختيار الأزواج قبل إشارة عتبة النقاط المعيارية.
Emissions allowance auction must follow additionality verification process for Paris agreement alignment.,يجب أن يتبع مزاد بدلات الانبعاثات عملية التحقق من الإضافية للتوافق مع اتفاقية باريس.
Initial margin requirement must be met before leverage ratio limit is increased.,يجب تلبية متطلبات الهامش الأولي قبل زيادة حد نسبة الرافعة المالية.
Weighted average cost of capital must be calculated before net present value calculation in capital budgeting.,يجب حساب المتوسط المرجح لتكلفة رأس المال قبل حساب صافي القيمة الحالية في ميزانية رأس المال.
Capital asset pricing model requires beta coefficient estimation for expected return calculation.,يتطلب نموذج تسعير الأصول الرأسمالية تقدير معامل بيتا لحساب العائد المتوقع.
Yield to maturity calculation must include duration convexity analysis for interest rate sensitivity.,يجب أن يتضمن حساب العائد حتى الاستحقاق تحليل تحدب المدة لحساسية سعر الفائدة.
Black-Scholes option pricing must be calibrated to implied volatility surface for delta-neutral hedging.,يجب معايرة تسعير خيارات بلاك-شولز لسطح التقلب الضمني للتحوط المحايد للدلتا.
Modern portfolio theory requires efficient frontier construction for asset allocation optimization.,تتطلب نظرية المحفظة الحديثة بناء الحدود الفعالة لتحسين توزيع الأصول.
Value-at-risk calculation must be supplemented by conditional value-at-risk under stress testing scenario.,يجب استكمال حساب القيمة المعرضة للخطر بالقيمة المعرضة للخطر المشروطة ضمن سيناريو اختبار الضغط.
Board independence requirement must include ESG reporting standards for audit committee oversight.,يجب أن تتضمن متطلبات استقلالية مجلس الإدارة معايير التقارير البيئية والاجتماعية والحوكمة لرقابة لجنة المراجعة.
Initial public offering process must include book building mechanism for aftermarket price stabilization.,يجب أن تتضمن عملية الطرح العام الأولي آلية بناء سجل الأوامر لتثبيت السعر في السوق الثانوية.
Merger synergies realization must be validated by due diligence process before antitrust regulatory approval.,يجب التحقق من تحقيق تآزر الاندماج من خلال عملية العناية الواجبة قبل الموافقة التنظيمية لمكافحة الاحتكار.
Green bond principles must include impact measurement metrics for taxonomy regulation compliance.,يجب أن تتضمن مبادئ السندات الخضراء مقاييس قياس الأثر للامتثال لتنظيم التصنيف.
Asset-backed securitization process must include credit enhancement mechanism for tranche seniority structure.,يجب أن تتضمن عملية التوريق المدعوم بالأصول آلية تعزيز الائتمان لهيكل أقدمية الشرائح.
Peer-to-peer platform must use credit scoring algorithm for default probability estimation under regulatory sandbox participation.,يجب أن تستخدم منصة الإقراض من نظير إلى نظير خوارزمية التصنيف الائتماني لتقدير احتمالية التخلف عن السداد ضمن المشاركة في بيئة الاختبار التنظيمية.
Robo-advisory services must include client risk profiling questionnaire before machine learning allocation.,يجب أن تتضمن خدمات الاستشارات الآلية استبيان تحديد ملف تعريف مخاطر العميل قبل التخصيص بالتعلم الآلي.
Letter of credit issuance must be supported by export credit insurance under forfaiting transaction structure.,يجب أن يدعم إصدار خطاب الاعتماد تأمين ائتمان التصدير ضمن هيكل معاملة التنازل عن الديون.
Microfinance must use group lending methodology under interest rate ceiling policy.,يجب أن يستخدم التمويل الأصغر منهجية الإقراض الجماعي ضمن سياسة سقف سعر الفائدة.
Green bond principles must include climate risk disclosure for ESG rating enhancement.,يجب أن تتضمن مبادئ السندات الخضراء الإفصاح عن مخاطر المناخ لتحسين التصنيف البيئي والاجتماعي والحوكمة.
Catastrophe bond issuance must use parametric trigger design for investor spread demand.,يجب أن يستخدم إصدار سندات الكوارث تصميم المحفز البارامتري لطلب فروق الأسعار من المستثمرين.
Regulatory sandbox framework must include cross-border regulatory coordination for fintech adoption.,يجب أن يتضمن إطار بيئة الاختبار التنظيمية التنسيق التنظيمي عبر الحدود لاعتماد التكنولوجيا المالية.
Taxonomy-compliant investment must include ESG data quality assurance for greenwashing risk mitigation.,يجب أن يتضمن الاستثمار المتوافق مع التصنيف ضمان جودة بيانات البيئة والمجتمع والحوكمة للتخفيف من مخاطر الغسل الأخضر.
Retail CBDC design must include privacy preservation mechanism for cross-border interoperability.,يجب أن يتضمن تصميم العملة الرقمية للبنك المركزي للتجزئة آلية الحفاظ على الخصوصية للتشغيل البيني عبر الحدود.
Mean-variance optimisation must include covariance matrix estimation for efficient frontier curve construction.,يجب أن يتضمن تحسين المتوسط والتباين تقدير مصفوفة التباين المشترك لبناء منحنى الحدود الفعالة.
Capital asset pricing model requires beta coefficient measurement for security market line plotting.,يتطلب نموذج تسعير الأصول الرأسمالية قياس معامل بيتا لرسم خط سوق الأوراق المالية.
Black-Scholes partial differential equation must be solved under log-normal distribution assumption for delta-neutral hedging.,يجب حل معادلة بلاك-شولز التفاضلية الجزئية ضمن افتراض التوزيع اللوغاريتمي الطبيعي للتحوط المحايد للدلتا.
Modigliani-Miller proposition must include tax shield benefit for capital structure trade-off analysis.,يجب أن تتضمن نظرية موديلياني-ميلر فائدة الدرع الضريبي لتحليل المقايضة في هيكل رأس المال.
Efficient-market hypothesis must be tested by abnormal return testing under behavioral finance challenge.,يجب اختبار فرضية السوق الكفؤة من خلال اختبار العوائد غير الطبيعية ضمن تحدي التمويل السلوكي.
Arbitrage pricing theory requires factor loading estimation under no-arbitrage condition.,تتطلب نظرية التسعير بالمراجحة تقدير تحميل العوامل ضمن شرط عدم المراجحة.
Prospect theory value function must incorporate loss aversion coefficient to explain disposition effect trading.,يجب أن تتضمن دالة القيمة في نظرية الاحتمال معامل النفور من الخسارة لتفسير تداول تأثير التصرف.
Value at risk model must pass back-testing validation process after confidence level selection.,يجب أن يجتاز نموذج القيمة المعرضة للخطر عملية التحقق من الاختبار الرجعي بعد اختيار مستوى الثقة.
Gordon growth formula requires perpetual growth assumption below required rate of return for terminal value calculation.,تتطلب صيغة نمو غوردون افتراض النمو الدائم أقل من معدل العائد المطلوب لحساب القيمة النهائية.
Real options valuation method requires volatility estimation process for binomial tree model construction.,تتطلب طريقة تقييم الخيارات الحقيقية عملية تقدير التقلب لبناء نموذج الشجرة ذات الحدين.
Drop-shipping fulfillment model must include order tracking integration to reduce returns handling complexity.,يجب أن يتضمن نموذج الوفاء بالشحن المباشر تكامل تتبع الطلبات لتقليل تعقيد معالجة المرتجعات.
